entity,value,synonyms
GC,Agramunt Gian-Reto,Gian-Reto Agramunt
GC,Apothéloz Jacques,Jacques Apotheloz
GC,Aubert Nicolas,Nicolas Aubert
GC,Barbier-Mueller Diane,Diane Barbier-Mueller
GC,Bellingeri Stefano Vito,Stefano Vito Bellingeri
GC,Bersier Julie,Julie Bersier
GC,Blanch Richard-Pascal,Richard-Pascal Blanch:Pascal Blanch
GC,Böhler Frances,Frances Bohler:Frances Bohler-GoodshipElizabeth BohlerElizabeth Bohler-Goodship
GC,Bouvier Christine,Christine Bouvier
GC,Brandt Simon,Simon Brandt
GC,Bron Gilles-Olivier,Gilles-Olivier Bron
GC,Brunel Mayori,Mayori Brunel
GC,Burri Rémy,Remy Burri
GC,Cornu Renate,Renate Cornu
GC,Creffield Conrad,Conrad Creffield
GC,Daher Vincent,Vincent Daher
GC,Dérobert Thierry,Thierry Derobert
GC,Desfayes Natacha,Natacha Desfayes:Natacha Buffet-Desfayes
GC,Douzals Jacques,Jacques Douzals
GC,Fiss Joëlle,Joelle Fiss
GC,Genecand Adrien,Adrien Genecand
GC,Giacobino Donata,Donata Giacobino:Donata Giacobino-FroidevauxNadia GiacobinoNadia Giacobino-Froidevaux
GC,Grand Eric,Eric Grand
GC,Grognuz Fabien,Fabien Grognuz
GC,Jay Sylvie,Sylvie Jay
GC,Jud Philippe,Philippe Jud
GC,Kämpfen Véronique,Veronique Kampfen
GC,Lämmel Valérie,Valerie Lammel:Valerie Laemmel-Juillard
GC,Leiser Jean-Marc,Jean-Marc Leiser
GC,Locher Jean,Jean Locher
GC,Luzzatto Christine,Christine Luzzatto
GC,Messerli Marie-Claire,Marie-Claire Messerli
GC,Meyer Philippe,Philippe Meyer
GC,Barthassat Luc,Luc Barthassat
GC,Dal Busco Serge,Serge Dal Busco
GC,Buchs Bertrand,Bertrand Buchs
GC,Aebi Benjamin,Benjamin Aebi
GC,Angelozzi Philippe,Philippe Angelozzi
GC,Von Arx-Vernon Anne-Marie,Anne-Marie Von Arx-Vernon
GC,Bachmann Delphine,Delphine Bachmann
GC,Bidaux Patricia,Patricia Bidaux:Patricia Bidaux-Rodriguez
GC,Blondin Jacques,Jacques Blondin
GC,Bocquet Claude,Claude Bocquet
GC,Bourbala Djamel,Djamel Bourbala
GC,Bouvier Jérémy,Jeremy Bouvier
GC,Bugnion Jean-Michel,Jean-Michel Bugnion
GC,Casutt Martine,Martine Casutt
GC,Cerutti Olivier,Olivier Cerutti
GC,Chaker Mangeat Alia,Alia Chaker Mangeat
GC,Chevalier Alexandre,Alexandre Chevalier
