entity,value,synonyms
Candidate,Bersier Julie,Julie Bersier
Candidate,Blanch Richard-Pascal,Richard-Pascal Blanch:Pascal Blanch
Candidate,Böhler Frances,Frances Bohler:Frances Bohler-GoodshipElizabeth BohlerElizabeth Bohler-Goodship
Candidate,Bouvier Christine,Christine Bouvier
Candidate,Brandt Simon,Simon Brandt
Candidate,Bron Gilles-Olivier,Gilles-Olivier Bron
Candidate,Brunel Mayori,Mayori Brunel
Candidate,Burri Rémy,Remy Burri
Candidate,Cornu Renate,Renate Cornu
Candidate,Creffield Conrad,Conrad Creffield
Candidate,Daher Vincent,Vincent Daher
Candidate,Dérobert Thierry,Thierry Derobert
Candidate,Desfayes Natacha,Natacha Desfayes:Natacha Buffet-Desfayes
Candidate,Douzals Jacques,Jacques Douzals
Candidate,Fiss Joëlle,Joelle Fiss
Candidate,Genecand Adrien,Adrien Genecand
Candidate,Giacobino Donata,Donata Giacobino:Donata Giacobino-FroidevauxNadia GiacobinoNadia Giacobino-Froidevaux
Candidate,Grand Eric,Eric Grand
Candidate,Grognuz Fabien,Fabien Grognuz
Candidate,Jay Sylvie,Sylvie Jay
Candidate,Jud Philippe,Philippe Jud
Candidate,Kämpfen Véronique,Veronique Kampfen
Candidate,Lämmel Valérie,Valerie Lammel:Valerie Laemmel-Juillard
Candidate,Leiser Jean-Marc,Jean-Marc Leiser
Candidate,Locher Jean,Jean Locher
Candidate,Luzzatto Christine,Christine Luzzatto
Candidate,Messerli Marie-Claire,Marie-Claire Messerli
Candidate,Meyer Philippe,Philippe Meyer
Candidate,Barthassat Luc,Luc Barthassat
Candidate,Dal Busco Serge,Serge Dal Busco
Candidate,Buchs Bertrand,Bertrand Buchs
Candidate,Aebi Benjamin,Benjamin Aebi
Candidate,Angelozzi Philippe,Philippe Angelozzi
Candidate,Von Arx-Vernon Anne-Marie,Anne-Marie Von Arx-Vernon
Candidate,Bachmann Delphine,Delphine Bachmann
Candidate,Bidaux Patricia,Patricia Bidaux:Patricia Bidaux-Rodriguez
Candidate,Blondin Jacques,Jacques Blondin
Candidate,Bocquet Claude,Claude Bocquet
Candidate,Bourbala Djamel,Djamel Bourbala
Candidate,Bouvier Jérémy,Jeremy Bouvier
Candidate,Bugnion Jean-Michel,Jean-Michel Bugnion
Candidate,Casutt Martine,Martine Casutt
Candidate,Cerutti Olivier,Olivier Cerutti
Candidate,Chaker Mangeat Alia,Alia Chaker Mangeat
Candidate,Chevalier Alexandre,Alexandre Chevalier
Candidate,Decrey Christophe,Christophe Decrey
Candidate,Deluermoz Cosima,Cosima Deluermoz
Candidate,Desfayes Sébastien,Sebastien Desfayes
Candidate,Dulex Christophe,Christophe Dulex
Candidate,Dupont Thérèse,Therese Dupont
Candidate,Engelberts Marie-Thérèse,Marie-Therese Engelberts:Marie-Therese Engelberts-Leone
Candidate,Fischer Daniel,Daniel Fischer
Candidate,Forni Jean-Luc,Jean-Luc Forni
Candidate,Fournier Nicolas,Nicolas Fournier
Candidate,Frischknecht Catherine,Catherine Frischknecht
Candidate,Gache Hélène,Helene Gache
Candidate,Gashi Sami,Sami Gashi
Candidate,Giannasi Anthony,Anthony Giannasi
Candidate,Giannelli Mark,Mark Giannelli
Candidate,Gioria Gaëlle,Gaelle Gioria
Candidate,Guinchard Jean-Marc,Jean-Marc Guinchard
Candidate,De Kalbermatten Alain,Alain De Kalbermatten
Candidate,Khattabi Hassar Houda,Houda Khattabi Hassar
Candidate,Kunz Laurence,Laurence Kunz
Candidate,Lance François,François Lance
Candidate,Lathion Jean Charles,Jean Charles Lathion
Candidate,Lehner Laurent,Laurent Lehner
Candidate,Lupo Paolo,Paolo Lupo
Candidate,Magnin Xavier,Xavier Magnin
Candidate,Magnin Yves,Yves Magnin
Candidate,Maitre Vincent,Vincent Maitre
Candidate,Makki Michela,Michela Makki:Michele Makki
Candidate,Meissner Reyfer Christine,Christine Meissner Reyfer:Christina Meissner Reyfer
Candidate,Merle Emmanuelle,Emmanuelle Merle
Candidate,Mettan Guy,Guy Mettan
Candidate,Meyer De Stadelhofen Philippe,Philippe Meyer De Stadelhofen
Candidate,Mondoux Alexandre,Alexandre Mondoux
Candidate,Moroni Catherine,Catherine Moroni
Candidate,Neuder Isabelle,Isabelle Neuder
Candidate,Ouedraogo Moustapha,Moustapha Ouedraogo
Candidate,Perret Vincent,Vincent Perret
Candidate,Pfeiffer Alex,Alex Pfeiffer
Candidate,Progin Christian,Christian Progin
Candidate,Putallaz Thomas,Thomas Putallaz
Candidate,Rasolo Daniel,Daniel Rasolo
Candidate,Ruchet Philippe,Philippe Ruchet
Candidate,Rys Alexandra,Alexandra Rys
Candidate,Saudan Guy,Guy Saudan
Candidate,Sayegh Souheil,Souheil Sayegh
Candidate,Scandurra Alessandro,Alessandro Scandurra
Candidate,Schmied Patrick,Patrick Schmied
Candidate,Schrag Sylvianne,Sylvianne Schrag
Candidate,Simoes Jose,Jose Simoes
Candidate,Sopi Dardan,Dardan Sopi
Candidate,Squillaci Nicola,Nicola Squillaci
Candidate,Steinberg Candrian Melinda,Melinda Steinberg Candrian
Candidate,Tomassi Christine,Christine Tomassi
Candidate,Tremblet Laurent,Laurent Tremblet
Candidate,Uong Dinh Manh,Dinh Manh Uong
Candidate,Völki Robert,Robert Volki
Candidate,Vuarnoz Emanuela,Emanuela Vuarnoz:Emanuelle Vuarnoz
Candidate,Wehrli Patrick,Patrick Wehrli
Candidate,Zimmermann Luc,Luc Zimmermann
Candidate,Zimmermann Bertrand,Bertrand Zimmermann
Candidate,Nidegger Yves,Yves Nidegger
Candidate,Bläsi Thomas,Thomas Blasi
Candidate,Florey Stéphane,Stephane Florey
Candidate,Leyvraz Eric,Eric Leyvraz
Candidate,Fuhrmann Marc,Marc Fuhrmann
Candidate,Lussi Patrick,Patrick Lussi
Candidate,Ivanov Christo,Christo Ivanov
Candidate,Falquet Marc,Marc Falquet
Candidate,Maendly Norbert,Norbert Maendly
Candidate,Pfeffer André,Andre Pfeffer
Candidate,Catelain Gilbert,Gilbert Catelain
Candidate,Hulliger Patrick,Patrick Hulliger
Candidate,Michaud Eliane,Eliane Michaud:Eliane Ansermet
Candidate,Scherb Peter,Peter Scherb:Pierre Scherb
Candidate,Stark Riccardo,Riccardo Stark:Richard Stark
Candidate,Guinchard Damien,Damien Guinchard
Candidate,Bisol Walter,Walter Bisol
Candidate,Masé Zora,Zora Mase
Candidate,Velen François,François Velen
Candidate,Knörr Stephen,Stephen Knorr
Candidate,Rubeli Pascal,Pascal Rubeli
Candidate,Lyon Didier,Didier Lyon
Candidate,Perrenoud Philippe,Philippe Perrenoud
Candidate,Dutruit André,Andre Dutruit
Candidate,Altenbach Pascal,Pascal Altenbach
Candidate,Queffélec Philippe,Philippe Queffelec
Candidate,Laporte Claude,Claude Laporte
Candidate,Conti Virna,Virna Conti
Candidate,Parel Loïc,Loic Parel
Candidate,Heddi Leila,Leila Heddi
Candidate,Gomes De Almeida José,Jose Gomes De Almeida:Manuel Gomes De Almeida
Candidate,Bertinat Marie-Agnès,Marie-Agnes Bertinat
Candidate,Mounla Alexandre,Alexandre Mounla
Candidate,Dournow David,David Dournow
Candidate,Chaussivert Patrice,Patrice Chaussivert
Candidate,Knoll Tatiana,Tatiana Knoll
Candidate,Rime Alexandre,Alexandre Rime
Candidate,Desyatkina Dzodziev Viktoriya,Viktoriya Desyatkina Dzodziev
Candidate,Thomas Sébastien,Sebastien Thomas
Candidate,Romanens Mathieu,Mathieu Romanens
Candidate,Schweizer Adriana,Adriana Schweizer
Candidate,Khachatryan Gohar,Gohar Khachatryan
Candidate,Prando Stéphane,Stephane Prando
Candidate,Borer Maria Da Conceicao,Maria Da Conceicao Borer
Candidate,Akaba El Mostafa,El Mostafa Akaba
Candidate,Léguillon Angèle,Angele Leguillon
Candidate,Bontoux Caroline,Caroline Bontoux
Candidate,Honegger Heller Manuela,Manuela Honegger Heller
Candidate,Ocharan Robles Rapaz Eva,Eva Ocharan Robles Rapaz:Eva Ocharan Robles
Candidate,Da Cruz Pedro Anna,Anna Da Cruz Pedro:Anna Da Cruz Perret-Gentil
Candidate,Borcard Anne,Anne Borcard
Candidate,Müller Fabienne,Fabienne Muller:Fabienne Abramovich
Candidate,Yol Diana,Diana Yol
Candidate,Randegger Alice,Alice Randegger
Candidate,Depraetere Graciela,Graciela Depraetere:Graciela Depraetere-Manulis
Candidate,Ozdemir Elcim,Elcim Ozdemir:Elcim ÖzdemirElçim OzdemirElçim Özdemir
Candidate,Ricciardi Werlen Jacqueline,Jacqueline Ricciardi Werlen
Candidate,Rossier Fahrion Cerise,Cerise Rossier Fahrion
Candidate,Boselli Gauthey Monica,Monica Boselli Gauthey
Candidate,Lavrador Dias Claudia,Claudia Lavrador Dias:Claudia Dias
Candidate,Jauch Caroline,Caroline Jauch
Candidate,Grange Marie-Florence,Marie-Florence Grange
Candidate,Mazzoni Nikita,Nikita Mazzoni
Candidate,Langer Valérie,Valerie Langer
Candidate,Mayoral Edo Corinne,Corinne Mayoral Edo:Corinne Mayoral
Candidate,Thomias Leduc Diana,Diana Thomias Leduc
Candidate,Orsini Magali,Magali Orsini
Candidate,Gauthier Pierre,Pierre Gauthier
Candidate,Armand Catherine,Catherine Armand
Candidate,Guex Stéphane,Stephane Guex:dit Guex-Pierre Guex
Candidate,Humberset Corinne,Corinne Humberset
