entity,value,synonyms
Candidat,Senglet Christophe,Christophe Senglet:Christophe Senglet
Candidat,Serrano Philippe,Philippe Serrano:Philippe Serrano
Candidat,Sommer Monika,Monika Sommer:Monika Sommer
Candidat,Steiner Matthieu,Matthieu Steiner:Matthieu Steiner
Candidat,Subilia Vincent,Vincent Subilia:Vincent Subilia
Candidat,Taboada Francisco,Francisco Taboada:Francisco Taboada
Candidat,Tschopp Laurent,Laurent Tschopp:Laurent Tschopp
Candidat,Wavre Rolin,Rolin Wavre:Rolin Wavre
Candidat,Wicki Guy,Guy Wicki:Guy Wicki
Candidat,Wolfisberg François,François Wolfisberg:Francois Wolfisberg
Candidat,Agramunt Gian-Reto,Gian-Reto Agramunt:Gian Reto Agramunt
Candidat,Apothéloz Jacques,Jacques Apothéloz:Jacques Apotheloz
Candidat,Aubert Nicolas,Nicolas Aubert:Nicolas Aubert
Candidat,Barbier-Mueller Diane,Diane Barbier-Mueller:Diane Barbier Mueller
Candidat,Bellingeri Stefano Vito,Stefano Vito Bellingeri:Stefano Vito Bellingeri
Candidat,Bersier Julie,Julie Bersier:Julie Bersier
Candidat,Blanch Richard-Pascal,Richard-Pascal Blanch:Pascal Blanch:Richard Pascal Blanch:Pascal Blanch
Candidat,Böhler Frances,Frances Böhler:Frances Böhler-GoodshipElizabeth BöhlerElizabeth Böhler-Goodship:Frances Bohler:Frances Bohler GoodshipElizabeth BohlerElizabeth Bohler Goodship
Candidat,Bouvier Christine,Christine Bouvier:Christine Bouvier
Candidat,Brandt Simon,Simon Brandt:Simon Brandt
Candidat,Bron Gilles-Olivier,Gilles-Olivier Bron:Gilles Olivier Bron
Candidat,Brunel Mayori,Mayori Brunel:Mayori Brunel
Candidat,Burri Rémy,Rémy Burri:Remy Burri
Candidat,Cornu Renate,Renate Cornu:Renate Cornu
Candidat,Creffield Conrad,Conrad Creffield:Conrad Creffield
Candidat,Daher Vincent,Vincent Daher:Vincent Daher
Candidat,Dérobert Thierry,Thierry Dérobert:Thierry Derobert
Candidat,Desfayes Natacha,Natacha Desfayes:Natacha Buffet-Desfayes:Natacha Desfayes:Natacha Buffet Desfayes
Candidat,Douzals Jacques,Jacques Douzals:Jacques Douzals
Candidat,Fiss Joëlle,Joëlle Fiss:Joelle Fiss
Candidat,Genecand Adrien,Adrien Genecand:Adrien Genecand
Candidat,Giacobino Donata,Donata Giacobino:Donata Giacobino-FroidevauxNadia GiacobinoNadia Giacobino-Froidevaux:Donata Giacobino:Donata Giacobino FroidevauxNadia GiacobinoNadia Giacobino Froidevaux
Candidat,Grand Eric,Eric Grand:Eric Grand
Candidat,Grognuz Fabien,Fabien Grognuz:Fabien Grognuz
Candidat,Jay Sylvie,Sylvie Jay:Sylvie Jay
Candidat,Jud Philippe,Philippe Jud:Philippe Jud
Candidat,Kämpfen Véronique,Véronique Kämpfen:Veronique Kampfen
Candidat,Lämmel Valérie,Valérie Lämmel:Valérie Laemmel-Juillard:Valerie Lammel:Valerie Laemmel Juillard
Candidat,Leiser Jean-Marc,Jean-Marc Leiser:Jean Marc Leiser
Candidat,Locher Jean,Jean Locher:Jean Locher
Candidat,Luzzatto Christine,Christine Luzzatto:Christine Luzzatto
Candidat,Messerli Marie-Claire,Marie-Claire Messerli:Marie Claire Messerli
Candidat,Meyer Philippe,Philippe Meyer:Philippe Meyer
Candidat,Barthassat Luc,Luc Barthassat:Luc Barthassat
Candidat,Dal Busco Serge,Serge Dal Busco:Serge Dal Busco
Candidat,Buchs Bertrand,Bertrand Buchs:Bertrand Buchs
Candidat,Aebi Benjamin,Benjamin Aebi:Benjamin Aebi
Candidat,Angelozzi Philippe,Philippe Angelozzi:Philippe Angelozzi
Candidat,Von Arx-Vernon Anne-Marie,Anne-Marie Von Arx-Vernon:Anne Marie Von Arx Vernon
Candidat,Bachmann Delphine,Delphine Bachmann:Delphine Bachmann
