entity,value,synonyms
Depute-e,HONEGGER HELLER Manuela,HONEGGER:HELLER:Manuela
Depute-e,OCHARAN ROBLES RAPAZ Eva,OCHARAN:ROBLES:RAPAZ:Eva:OCHARAN:ROBLES
Depute-e,DA CRUZ PEDRO Anna,DA:CRUZ:PEDRO:Anna:DA:CRUZ:PERRET-GENTIL
Depute-e,BORCARD Anne,BORCARD:Anne
Depute-e,MÜLLER Fabienne,MÜLLER:Fabienne:ABRAMOVICH
Depute-e,YOL Diana,YOL:Diana
Depute-e,RANDEGGER Alice,RANDEGGER:Alice
Depute-e,DEPRAETERE Graciela,DEPRAETERE:Graciela:DEPRAETERE-MANULIS
Depute-e,OZDEMIR Elcim,OZDEMIR:Elcim:ÖZDEMIR:Elçim
Depute-e,RICCIARDI WERLEN Jacqueline,RICCIARDI:WERLEN:Jacqueline
Depute-e,ROSSIER FAHRION Cerise,ROSSIER:FAHRION:Cerise
Depute-e,BOSELLI GAUTHEY Monica,BOSELLI:GAUTHEY:Monica
Depute-e,LAVRADOR DIAS Claudia,LAVRADOR:DIAS:Claudia:DIAS
Depute-e,JAUCH Caroline,JAUCH:Caroline
Depute-e,GRANGE Marie-Florence,GRANGE:Marie-Florence
Depute-e,MAZZONI Nikita,MAZZONI:Nikita
Depute-e,LANGER Valérie,LANGER:Valérie
Depute-e,MAYORAL EDO Corinne,MAYORAL:EDO:Corinne:MAYORAL
Depute-e,THOMIAS LEDUC Diana,THOMIAS:LEDUC:Diana
Depute-e,ORSINI Magali,ORSINI:Magali
Depute-e,GAUTHIER Pierre,GAUTHIER:Pierre
Depute-e,ARMAND Catherine,ARMAND:Catherine
Depute-e,GUEX Stéphane,GUEX:Stéphane:dit:Guex-Pierre
Depute-e,HUMBERSET Corinne,HUMBERSET:Corinne
Depute-e,RUCKTERSTUHL Jean-Claude,RUCKTERSTUHL:Jean-Claude
Depute-e,LONGO Katrin,LONGO:Katrin
Depute-e,GIROD Nicolas,GIROD:Nicolas
Depute-e,KÜDERLI BERKANE Nicole,KÜDERLI:BERKANE:Nicole
Depute-e,FLAKS Joël,FLAKS:Joël
Depute-e,PERRIN Brigitte,PERRIN:Brigitte
Depute-e,GOUDAL Renaud,GOUDAL:Renaud
Depute-e,MEYNET Danielle,MEYNET:Danielle
Depute-e,MEYNET Leon,MEYNET:Leon
Depute-e,TURNOWSKY Serge,TURNOWSKY:Serge
Depute-e,ZIMMERMANN Olivier,ZIMMERMANN:Olivier
Depute-e,CHATELAIN Dimitri,CHATELAIN:Dimitri
Depute-e,STAUFFER Eric,STAUFFER:Eric
Depute-e,ZACHARIAS Ronald,ZACHARIAS:Ronald
Depute-e,SARAIVA MEDEIROS Carlos,SARAIVA:MEDEIROS:Carlos
Depute-e,SPÜHLER Pascal,SPÜHLER:Pascal
Depute-e,GAETANINO Marco,GAETANINO:Marco
Depute-e,LE JEUNE GIACOBBI Cristina,LE:JEUNE:GIACOBBI:Cristina
Depute-e,WALTHER Thierry,WALTHER:Thierry
