entity,value,synonyms
Député-e,ZIMMERMANN Luc,zimmermann:luc
Député-e,ZIMMERMANN Bertrand,zimmermann:bertrand
Député-e,TABOADA Francisco,taboada:francisco
Député-e,NIDEGGER Yves,nidegger:yves
Député-e,BLÄSI Thomas,bläsi:thomas
Député-e,FLOREY Stéphane,florey:stéphane
Député-e,LEYVRAZ Eric,leyvraz:eric
Député-e,FUHRMANN Marc,fuhrmann:marc
Député-e,LUSSI Patrick,lussi:patrick
Député-e,IVANOV Christo,ivanov:christo
Député-e,FALQUET Marc,falquet:marc
Député-e,MAENDLY Norbert,maendly:norbert
Député-e,PFEFFER André,pfeffer:andré
Député-e,CATELAIN Gilbert,catelain:gilbert
Député-e,HULLIGER Patrick,hulliger:patrick
Député-e,MICHAUD Eliane (ANSERMET),michaud:eliane:ansermet
Député-e,SCHERB Peter (Pierre),scherb:peter:pierre
Député-e,STARK Riccardo (Richard),stark:riccardo:richard
Député-e,GUINCHARD Damien,guinchard:damien
Député-e,BISOL Walter,bisol:walter
Député-e,MASÉ Zora,masé:zora
Député-e,VELEN François,velen:françois
Député-e,KNÖRR Stephen,knörr:stephen
Député-e,RUBELI Pascal,rubeli:pascal
Député-e,LYON Didier,lyon:didier
Député-e,PERRENOUD Philippe,perrenoud:philippe
Député-e,DUTRUIT André,dutruit:andré
Député-e,ALTENBACH Pascal,altenbach:pascal
Député-e,QUEFFÉLEC Philippe,queffélec:philippe
Député-e,LAPORTE Claude,laporte:claude
Député-e,CONTI Virna,conti:virna
Député-e,PAREL Loïc,parel:loïc
Député-e,HEDDI Leila,heddi:leila
Député-e,GOMES DE ALMEIDA José (Manuel),gomes:de:almeida:josé:manuel
Député-e,BERTINAT Marie-Agnès,bertinat:marie-agnès
Député-e,MOUNLA Alexandre,mounla:alexandre
Député-e,DOURNOW David,dournow:david
Député-e,CHAUSSIVERT Patrice,chaussivert:patrice
Député-e,KNOLL Tatiana,knoll:tatiana
Député-e,RIME Alexandre,rime:alexandre
Député-e,DESYATKINA DZODZIEV Viktoriya,desyatkina:dzodziev:viktoriya
Député-e,THOMAS Sébastien,thomas:sébastien
Député-e,ROMANENS Mathieu,romanens:mathieu
Député-e,SCHWEIZER Adriana,schweizer:adriana
Député-e,KHACHATRYAN Gohar,khachatryan:gohar
Député-e,PRANDO Stéphane,prando:stéphane
Député-e,BORER Maria Da Conceicao,borer:maria:da:conceicao
Député-e,AKABA El Mostafa,akaba:el:mostafa
Député-e,LÉGUILLON Angèle,léguillon:angèle
Député-e,BONTOUX Caroline,bontoux:caroline
Député-e,STAUFFER Eric,stauffer:eric
Député-e,ZACHARIAS Ronald,zacharias:ronald
Député-e,HONEGGER HELLER Manuela,honegger:heller:manuela
